HwTrapBody(id=null, newOrClear=2, trapId=407181604, alarmCode=65080, alarmName=Mains Failure, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 04:15:07, alarmClearedTime=2025-03-03 09:33:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407216882, alarmCode=65080, alarmName=Mains Failure, siteId=JLD010, siteName=JLDU010_KAMAL_AND_HONOR_MTN(NGR007)_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=JLDU010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:32:57, alarmClearedTime=2025-03-03 09:35:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407220759, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 10:08:55, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407220759, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 10:08:55, alarmClearedTime=2025-03-03 10:09:19, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407220917, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 10:10:39, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407220917, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 10:10:39, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407220917, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 10:10:39, alarmClearedTime=2025-03-03 10:36:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407224388, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 10:39:24, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407224388, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 10:39:24, alarmClearedTime=2025-03-03 10:50:05, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407228883, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:27:34, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
