ZteTrapBody(id=5052997427383127355, newOrClear=1, trapId=1718086425145, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,14:22:9.0,+4:30, alarmClearedTime=null, alarmNodeBId=141, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=5975263171973546761, newOrClear=1, trapId=1718086425186, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,14:25:34.0,+4:30, alarmClearedTime=null, alarmNodeBId=110, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425101, alarmCode=198083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,14:26:28.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425145, alarmCode=198083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,14:28:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425186, alarmCode=198083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,14:40:46.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3561786231340296454, newOrClear=1, trapId=1718086425292, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,14:52:48.0,+4:30, alarmClearedTime=null, alarmNodeBId=110, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425292, alarmCode=198083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,15:8:51.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4308213622804742029, newOrClear=1, trapId=1718086425444, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,15:24:40.0,+4:30, alarmClearedTime=null, alarmNodeBId=2125, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425444, alarmCode=198083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,15:29:56.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7139988845257113032, newOrClear=1, trapId=1718086425609, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:4:21.0,+4:30, alarmClearedTime=null, alarmNodeBId=130, alarmCellId=null, alarmRncId=3)
