ZteTrapBody(id=3728422724474073888, newOrClear=1, trapId=1718086419893, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,14:24:23.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086419893, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,14:37:2.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=102567708196571005, newOrClear=1, trapId=1718086419942, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,14:39:25.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086419942, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,14:51:16.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=67865834791789049, newOrClear=1, trapId=1718086426144, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=GZN021, siteName=GZNP021_Hotqul_CPX_P1(5021), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN021, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,16:59:47.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6336228686260264357, newOrClear=1, trapId=1718086426178, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=GZN039, siteName=GZNP039_QAMBAR-E-SNANGMASHA_CPX_P3(5039), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN039, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,17:11:58.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086426144, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,17:24:47.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086426178, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,17:42:0.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1554673071509296176, newOrClear=1, trapId=1718086494698, alarmCode=198092562, alarmName=DC LOW VOLTAGE, siteId=HLM004, siteName=HLMP004_HUB_Girishk_P1 Solar(5604), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM004, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-14,11:28:35.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086494698, alarmCode=198092562, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-14,11:28:51.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
