ZteTrapBody(id=null, newOrClear=2, trapId=1718086415330, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:52:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415134, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:54:40.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1460984293486569325, newOrClear=1, trapId=1718086415375, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT086, siteName=HRTC086_SofI_Abad_P1_MTN_HRT075(2086), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT086_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:59:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7769472550736949192, newOrClear=1, trapId=1718086415396, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT134, siteName=HRTP134_Ferk_P3_MTN_HRT061(2134), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT134_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:6:16.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415396, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:6:24.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415375, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:8:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5000600028879315936, newOrClear=1, trapId=1718086415480, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT103, siteName=HRTC103_Akher_e_Pulerangena_P3(2103), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT103_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:14:52.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415480, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:15:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8732001992048664329, newOrClear=1, trapId=1718086415529, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=KDR079, siteName=KDRC079_BTS_Karz_P3_MTN(79), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KDR079_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:24:50.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5581995590965945464, newOrClear=1, trapId=1718086415530, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=KDR050, siteName=KDRC050_BTS_Mirwas_Menah_P3(50), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KDR050_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:24:50.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415529, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:25:8.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415530, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:26:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4812547946230119874, newOrClear=1, trapId=1718086415571, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=KDR079, siteName=KDRC079_BTS_Karz_P3_MTN(79), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KDR079_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:36:30.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415571, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:36:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6477953161272463696, newOrClear=1, trapId=1718086415581, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=JLD113, siteName=JLDL113_Dand-e-Khoshk_Etisalat_NGR103(3113), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=JLD113_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:38:0.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415581, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:39:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6414099041522883481, newOrClear=1, trapId=1718086415589, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT107, siteName=HRTC107_Postie_Number1_P1_AWCC_HER014(2107), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT107_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:40:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415589, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:42:24.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4719410212021386997, newOrClear=1, trapId=1718086415643, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT150, siteName=HRTP150_Char_Borjk_P2_Opex_QZ(2150), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT150_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:49:26.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415642, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:53:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415643, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:53:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6976913936935267319, newOrClear=1, trapId=1718086415666, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT037, siteName=HRTP037_Ziarate_e_Jay_P3_Etisalat_HRT018(2037), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT037_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:54:8.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415666, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,13:54:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6582803990949148937, newOrClear=1, trapId=1718086415697, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=FAR012, siteName=FARP012_Pushta_Road(2412), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=FAR012_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,13:58:2.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
