ZteTrapBody(id=null, newOrClear=2, trapId=1718116879475, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:33:6.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879470, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:33:20.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1280494981693479342, newOrClear=1, trapId=1718116879478, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=KST019, siteName=KSTC019_BTS_Koolap_Shatha_P2(3419), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST019, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:37:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7156980834251028233, newOrClear=1, trapId=1718116879483, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=HRTZR01-RNC01(3), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=2G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:37:40.0,+4:30, alarmClearedTime=null, alarmNodeBId=82, alarmCellId=null, alarmRncId=3)
ZteTrapBody(id=6733361638838010558, newOrClear=1, trapId=1718116879484, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=HRT082, siteName=HRTP082_Toor_Ghondi_Bazar_(OPEX_ACG)(82), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT082, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:37:44.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879478, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:38:33.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6236757885107491572, newOrClear=1, trapId=1718116879490, alarmCode=198092295, alarmName=Device power down, siteId=HRT181, siteName=HRTC181_Jad_e_Kaj_OPEX_QZ(2181), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT181, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:36:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8575528722463973111, newOrClear=1, trapId=1718116879491, alarmCode=198092295, alarmName=Device power down, siteId=HRT181, siteName=HRTC181_Jad_e_Kaj_OPEX_QZ(2181), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT181, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:36:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2421225661368927662, newOrClear=1, trapId=1718116879492, alarmCode=198092295, alarmName=Device power down, siteId=HRT181, siteName=HRTC181_Jad_e_Kaj_OPEX_QZ(2181), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT181, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:36:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6618674955392439762, newOrClear=1, trapId=1718116879493, alarmCode=198092295, alarmName=Device power down, siteId=HRT181, siteName=HRTC181_Jad_e_Kaj_OPEX_QZ(2181), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT181, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:36:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
