HwTrapBody(id=null, newOrClear=1, trapId=407215603, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL337, siteName=KBLU337_TEMORSHAHEE_STREET_JTTS_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU337, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:18:46, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407215610, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL032, siteName=KBLU032_CINAMA_PAMIR_CPX_P1, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU032, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:18:46, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407215630, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBLM118, siteName=KBLMU118_ATRA_OFFICE_KABUL, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLMU118, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:19:00, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407215656, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL473, siteName=KBLU473_JLD_ROAD_UN_COMPOUND_GEST_HOUSE_48_CPX_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU473, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:19:25, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407215656, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL473, siteName=KBLU473_JLD_ROAD_UN_COMPOUND_GEST_HOUSE_48_CPX_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU473, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:19:25, alarmClearedTime=2025-03-03 09:23:42, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407215610, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL032, siteName=KBLU032_CINAMA_PAMIR_CPX_P1, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU032, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:18:46, alarmClearedTime=2025-03-03 09:25:38, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407215630, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBLM118, siteName=KBLMU118_ATRA_OFFICE_KABUL, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLMU118, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:19:00, alarmClearedTime=2025-03-03 09:25:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407215603, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL337, siteName=KBLU337_TEMORSHAHEE_STREET_JTTS_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU337, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:18:46, alarmClearedTime=2025-03-03 09:28:29, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407216729, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL131, siteName=KBLU131_NORTH_OF_315_TOWN_QZ_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU131, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:29:26, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407217390, alarmCode=22214, alarmName=NodeB Unavailable, siteId=LGN014, siteName=LGNU014_GAMBERI_MILATRY_BASE_OPEX_JTTS_P1, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=LGNU014, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:35:31, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407217390, alarmCode=22214, alarmName=NodeB Unavailable, siteId=LGN014, siteName=LGNU014_GAMBERI_MILATRY_BASE_OPEX_JTTS_P1, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=LGNU014, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:35:31, alarmClearedTime=2025-03-03 09:39:16, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407217628, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL407, siteName=KBLU407_JAI_RAISS_DEH_MURAD_KHAN_PT_P2, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU407, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:37:56, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407217628, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL407, siteName=KBLU407_JAI_RAISS_DEH_MURAD_KHAN_PT_P2, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU407, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:37:56, alarmClearedTime=2025-03-03 09:42:12, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407210240, alarmCode=22214, alarmName=NodeB Unavailable, siteId=MZR040, siteName=MZRU040_BABA_YADGAR_KHAIRAN_PETROLEUM_OPEX_NAYAB, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=MZRU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:20:22, alarmClearedTime=2025-03-03 09:44:06, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407216729, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL131, siteName=KBLU131_NORTH_OF_315_TOWN_QZ_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU131, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:29:26, alarmClearedTime=2025-03-03 09:45:51, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407218380, alarmCode=22214, alarmName=NodeB Unavailable, siteId=MZR040, siteName=MZRU040_BABA_YADGAR_KHAIRAN_PETROLEUM_OPEX_NAYAB, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=MZRU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:44:06, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407218380, alarmCode=22214, alarmName=NodeB Unavailable, siteId=MZR040, siteName=MZRU040_BABA_YADGAR_KHAIRAN_PETROLEUM_OPEX_NAYAB, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=MZRU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:44:06, alarmClearedTime=2025-03-03 09:46:16, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407218893, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL156, siteName=KBLU156_Shahrak_e_Sulh Kotal_e_Khairkhana_MTN(KBS075)_P1, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU156, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:48:20, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407218893, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL156, siteName=KBLU156_Shahrak_e_Sulh Kotal_e_Khairkhana_MTN(KBS075)_P1, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU156, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:48:20, alarmClearedTime=2025-03-03 09:50:26, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407219205, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KDZ023, siteName=KDZU023_BASEZ_MTN_KDZ059_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KDZU023, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:50:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407219277, alarmCode=22214, alarmName=NodeB Unavailable, siteId=MZR040, siteName=MZRU040_BABA_YADGAR_KHAIRAN_PETROLEUM_OPEX_NAYAB, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=MZRU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:51:44, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407219205, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KDZ023, siteName=KDZU023_BASEZ_MTN_KDZ059_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KDZU023, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:50:59, alarmClearedTime=2025-03-03 09:55:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407219645, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL222, siteName=KBLU222_DOBAI_MOBEL_BARAKI_JTTS_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU222, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:55:08, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407219833, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL070, siteName=KBLU070_UN_CPX_P1, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU070, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:57:23, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407219645, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL222, siteName=KBLU222_DOBAI_MOBEL_BARAKI_JTTS_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU222, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:55:08, alarmClearedTime=2025-03-03 09:59:25, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
