ZteTrapBody(id=2089812724111536554, newOrClear=1, trapId=1718086658916, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=WDK015, siteName=WDKP015_Hese_1_Behsud_Solar_P3(1415), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=WDK015, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-19,6:31:22.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086658916, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-19,6:33:13.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5436803973640757581, newOrClear=1, trapId=1718086658919, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=WDK015, siteName=WDKP015_Hese_1_Behsud_Solar_P3(1415), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=WDK015, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-19,6:33:23.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086658919, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-19,7:0:20.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7654828053735502090, newOrClear=1, trapId=1718086659073, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=WDK015, siteName=WDKP015_Hese_1_Behsud_Solar_P3(1415), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=WDK015, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-19,7:29:52.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6760268081131874969, newOrClear=1, trapId=1718086659079, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GZN039, siteName=GZNP039_QAMBAR-E-SNANGMASHA_CPX_Solar_P3(5039), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN039, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-19,7:31:19.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086659079, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-19,10:28:35.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6403384692706331850, newOrClear=1, trapId=1718086676717, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GDZ001, siteName=GDZC001_BSC_Site_Gardez001_P1(3201), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GDZ001, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-24,11:42:31.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086676717, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-24,11:43:20.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3689093999548541006, newOrClear=1, trapId=1718086677400, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=HRT034, siteName=HRTC034_Badmurghan_P1_AWCC_HRT101(2034), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT034, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-24,13:15:0.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
