ZteTrapBody(id=7911699428786380491, newOrClear=1, trapId=1718086424867, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,14:0:56.0,+4:30, alarmClearedTime=null, alarmNodeBId=3202, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086424867, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,14:3:45.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3462627992999704049, newOrClear=1, trapId=1718086424893, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,14:4:32.0,+4:30, alarmClearedTime=null, alarmNodeBId=3202, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086424893, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,14:8:43.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1307126512319778701, newOrClear=1, trapId=1718086425166, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,14:23:51.0,+4:30, alarmClearedTime=null, alarmNodeBId=1419, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425166, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,14:25:50.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6530356947712118345, newOrClear=1, trapId=1718086425240, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,14:30:34.0,+4:30, alarmClearedTime=null, alarmNodeBId=1419, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425240, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,14:32:40.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5033728510251054477, newOrClear=1, trapId=1718086425369, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,15:7:19.0,+4:30, alarmClearedTime=null, alarmNodeBId=3215, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=1332686284023838743, newOrClear=1, trapId=1718086425376, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,15:7:29.0,+4:30, alarmClearedTime=null, alarmNodeBId=3430, alarmCellId=null, alarmRncId=7)
