HwTrapBody(id=null, newOrClear=2, trapId=406163166, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:18:47, alarmClearedTime=2025-02-24 06:18:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406163194, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:19:08, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406163194, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:19:08, alarmClearedTime=2025-02-24 06:19:20, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406163229, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:19:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406163229, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:19:33, alarmClearedTime=2025-02-24 06:19:54, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406163288, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:20:15, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406163482, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:22:30, alarmClearedTime=2025-02-24 06:36:38, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406170575, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:32:31, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406170575, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:32:31, alarmClearedTime=2025-02-24 07:39:27, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406178067, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL349, siteName=KBL349_UL_JTTS, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU349, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:15:36, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
