HwTrapBody(id=null, newOrClear=1, trapId=406166565, alarmCode=21825, alarmName=CSL Fault, siteId=KBL304, siteName=KBL039_MBSC-KBL304_HUB_2G, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL304_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:54:00, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406166565, alarmCode=21825, alarmName=CSL Fault, siteId=KBL304, siteName=KBL039_MBSC-KBL304_HUB_2G, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL304_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:54:00, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406166559, alarmCode=21825, alarmName=CSL Fault, siteId=KBL380, siteName=KBLH11-KBL380_2G, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL380_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:53:56, alarmClearedTime=2025-02-24 07:09:46, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406166565, alarmCode=21825, alarmName=CSL Fault, siteId=KBL304, siteName=KBL039_MBSC-KBL304_HUB_2G, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL304_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:54:00, alarmClearedTime=2025-02-24 07:09:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406164902, alarmCode=21825, alarmName=CSL Fault, siteId=KBL391, siteName=KBLH11-KBL391_Sarak_e_ Hotel_Parwan _Khairkhana, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:38:27, alarmClearedTime=2025-02-24 07:25:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406171309, alarmCode=21825, alarmName=CSL Fault, siteId=KBL391, siteName=KBLH11-KBL391_Sarak_e_ Hotel_Parwan _Khairkhana, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:41:12, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406171515, alarmCode=21825, alarmName=CSL Fault, siteId=KDZ001, siteName=KDZH01-KDZ001_KUNDUZ_MOC_CPX_P1, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KDZ001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:43:48, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406171309, alarmCode=21825, alarmName=CSL Fault, siteId=KBL391, siteName=KBLH11-KBL391_Sarak_e_ Hotel_Parwan _Khairkhana, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:41:12, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406171309, alarmCode=21825, alarmName=CSL Fault, siteId=KBL391, siteName=KBLH11-KBL391_Sarak_e_ Hotel_Parwan _Khairkhana, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:41:12, alarmClearedTime=2025-02-24 07:50:12, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406171515, alarmCode=21825, alarmName=CSL Fault, siteId=KDZ001, siteName=KDZH01-KDZ001_KUNDUZ_MOC_CPX_P1, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KDZ001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:43:48, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
