HwTrapBody(id=null, newOrClear=1, trapId=406063935, alarmCode=65090, alarmName=Mains Failure, siteId=KBL375, siteName=KBL375_UL_MTN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL375_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:48:45, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063920, alarmCode=65090, alarmName=Mains Failure, siteId=KBL009, siteName=KBL009_UL_TXN_WAZIR_ABAD_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL009_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:48:38, alarmClearedTime=2025-02-23 11:48:47, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063935, alarmCode=65090, alarmName=Mains Failure, siteId=KBL375, siteName=KBL375_UL_MTN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL375_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:48:45, alarmClearedTime=2025-02-23 11:49:12, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063923, alarmCode=65090, alarmName=Mains Failure, siteId=KBL169, siteName=KBL169_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL169_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:48:40, alarmClearedTime=2025-02-23 11:49:38, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064264, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:51:28, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064264, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:51:28, alarmClearedTime=2025-02-23 11:51:46, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063924, alarmCode=65090, alarmName=Mains Failure, siteId=KBL334, siteName=KBL334_UL_QZ, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL334_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:48:40, alarmClearedTime=2025-02-23 11:56:10, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065513, alarmCode=65090, alarmName=Mains Failure, siteId=KBL240, siteName=KBL240_UL_TXN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL240_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:02:06, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065513, alarmCode=65090, alarmName=Mains Failure, siteId=KBL240, siteName=KBL240_UL_TXN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL240_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:02:06, alarmClearedTime=2025-02-23 12:02:24, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066028, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:08:39, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406066028, alarmCode=65090, alarmName=Mains Failure, siteId=KBL541, siteName=KBL541_GL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL541_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:08:39, alarmClearedTime=2025-02-23 12:08:57, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066190, alarmCode=65090, alarmName=Mains Failure, siteId=KBL521, siteName=KBL521_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL521_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:10:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406066190, alarmCode=65090, alarmName=Mains Failure, siteId=KBL521, siteName=KBL521_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL521_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:10:05, alarmClearedTime=2025-02-23 12:10:17, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066222, alarmCode=65090, alarmName=Mains Failure, siteId=KBL049, siteName=KBL049_GL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL049_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:10:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066227, alarmCode=65090, alarmName=Mains Failure, siteId=KBL332, siteName=KBL332_UL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL332_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:10:37, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
