HwTrapBody(id=null, newOrClear=2, trapId=406069063, alarmCode=21807, alarmName=OML Fault, siteId=TKR007, siteName=TKRH01-TKR007_QABREE_QAZEE_SOLAR_CPX_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=TKR007, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:37:59, alarmClearedTime=2025-02-23 12:50:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406069059, alarmCode=21807, alarmName=OML Fault, siteId=TKR008, siteName=TKRH01-TKR008_BAHARAK_MTN(THR047)_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=TKR008, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:37:53, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406070455, alarmCode=21807, alarmName=OML Fault, siteId=KBL249, siteName=KBLH11-KBL249_TXN_Zore_Abad_e_Proje_Jadid_ Khairkhana_JTTS_P2, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL249, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:51:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406070485, alarmCode=21807, alarmName=OML Fault, siteId=KBL392, siteName=KBLH11-KBL392_LOWA_E_BABA_JAN_MTN(KBL210)_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL392, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:52:10, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406070560, alarmCode=21807, alarmName=OML Fault, siteId=MZR093, siteName=MZRH02-MZR093_QUARYE_ISHANA_CPX_P1, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR093, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:52:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406070562, alarmCode=21807, alarmName=OML Fault, siteId=MZR148, siteName=MZRH03-MZR148_KARTE_ADALAT_AWCC (BLK041)_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR148, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:52:32, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406070567, alarmCode=21807, alarmName=OML Fault, siteId=MZR111, siteName=MZRH03-MZR111_PROJE_S_PT_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR111, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:52:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406069059, alarmCode=21807, alarmName=OML Fault, siteId=TKR008, siteName=TKRH01-TKR008_BAHARAK_MTN(THR047)_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=TKR008, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:37:53, alarmClearedTime=2025-02-23 12:52:43, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406070455, alarmCode=21807, alarmName=OML Fault, siteId=KBL249, siteName=KBLH11-KBL249_TXN_Zore_Abad_e_Proje_Jadid_ Khairkhana_JTTS_P2, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL249, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:51:59, alarmClearedTime=2025-02-23 12:53:11, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406070039, alarmCode=21807, alarmName=OML Fault, siteId=KBL407, siteName=KBLH12-KBL407_JAI_RAISS_DEH_MURAD_KHAN_PT_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL407, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:48:45, alarmClearedTime=2025-02-23 12:53:47, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406070485, alarmCode=21807, alarmName=OML Fault, siteId=KBL392, siteName=KBLH11-KBL392_LOWA_E_BABA_JAN_MTN(KBL210)_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL392, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:52:10, alarmClearedTime=2025-02-23 12:54:16, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406071472, alarmCode=21807, alarmName=OML Fault, siteId=KBL249, siteName=KBLH11-KBL249_TXN_Zore_Abad_e_Proje_Jadid_ Khairkhana_JTTS_P2, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL249, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:57:49, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406070560, alarmCode=21807, alarmName=OML Fault, siteId=MZR093, siteName=MZRH02-MZR093_QUARYE_ISHANA_CPX_P1, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR093, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:52:29, alarmClearedTime=2025-02-23 12:58:25, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406071472, alarmCode=21807, alarmName=OML Fault, siteId=KBL249, siteName=KBLH11-KBL249_TXN_Zore_Abad_e_Proje_Jadid_ Khairkhana_JTTS_P2, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL249, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:57:49, alarmClearedTime=2025-02-23 12:59:29, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
