HwTrapBody(id=null, newOrClear=1, trapId=406066033, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL363, siteName=KBLH08-KBL363_KARIZ_MIR_OF_KABUL_CITY_AFTEL(KAB017)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU363, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:08:44, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406066033, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL363, siteName=KBLH08-KBL363_KARIZ_MIR_OF_KABUL_CITY_AFTEL(KAB017)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU363, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:08:44, alarmClearedTime=2025-02-23 12:09:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066357, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL363, siteName=KBLH08-KBL363_KARIZ_MIR_OF_KABUL_CITY_AFTEL(KAB017)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU363, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:11:44, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406066357, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL363, siteName=KBLH08-KBL363_KARIZ_MIR_OF_KABUL_CITY_AFTEL(KAB017)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU363, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:11:44, alarmClearedTime=2025-02-23 12:12:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066627, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=MZR084, siteName=MZRH03-MZR084_DEHDADI_MAKTABI_MTN(BLH038)_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU084, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:14:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065207, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:00:15, alarmClearedTime=2025-02-23 12:16:35, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065648, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL031, siteName=KBL031_UL_JTTS, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU031, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:03:35, alarmClearedTime=2025-02-23 12:16:52, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065649, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL031, siteName=KBLH11-KBL031_Qasr_Zarin_Hotel_Pawan-e-3_OPEX_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU031, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:03:35, alarmClearedTime=2025-02-23 12:16:52, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066837, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:17:20, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406066837, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:17:20, alarmClearedTime=2025-02-23 12:17:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
