ZteTrapBody(id=3189046291842574810, newOrClear=1, trapId=1732079030906, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=BGL022, siteName=BGLL022_KALAN_GOZAR_KOHE_CHESHMA_CPX_P2(6222), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=BGL022_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-14,10:52:52.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079030906, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-14,10:53:20.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7340076260888353979, newOrClear=1, trapId=1732079030918, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=BGL022, siteName=BGLL022_KALAN_GOZAR_KOHE_CHESHMA_CPX_P2(6222), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=BGL022_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-14,11:30:47.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079030918, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-14,11:40:35.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8822135260492434951, newOrClear=1, trapId=1732079030927, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=BGL022, siteName=BGLL022_KALAN_GOZAR_KOHE_CHESHMA_CPX_P2(6222), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=BGL022_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-14,11:55:47.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079030927, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-14,12:0:21.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6649551639058141882, newOrClear=1, trapId=1732079030936, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=BGL022, siteName=BGLL022_KALAN_GOZAR_KOHE_CHESHMA_CPX_P2(6222), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=BGL022_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-1-14,12:6:37.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079030936, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-1-14,12:19:35.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079034267, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,14:52:31.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079034197, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,15:58:40.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
