ZteTrapBody(id=1452410841902477161, newOrClear=1, trapId=1718086733411, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=MZR152, siteName=MZRP152_ACG Shortepa MZR(4152), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=MZR152_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,13:8:48.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733411, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,13:9:27.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=510754860983727713, newOrClear=1, trapId=1718086733523, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=MZR152, siteName=MZRP152_ACG Shortepa MZR(4152), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=MZR152_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,13:29:29.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733523, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,13:32:16.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2963646254127092479, newOrClear=1, trapId=1718086733769, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=PSR002, siteName=PSRL002_TXN_BTS_BAZARAK_FARAJ_CPX_P3(1702), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=PSR002_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,15:0:34.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733769, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,15:1:19.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6191967978455639267, newOrClear=1, trapId=1732079037543, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=BGL006, siteName=BGLL006_BAND_2_POLE_KHUMRI_CITY(6206), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=BGL006_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,15:13:22.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079037543, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,15:15:16.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5499110460905379243, newOrClear=1, trapId=1718086734519, alarmCode=198094422, alarmName=eNodeB is out of service, siteId=HRT163, siteName=HRTC163_Jada_Behzad_P2_OPEX_JTTS(2163), alarmSeverity=null, alarmEventType=4, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT163_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,18:32:7.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086734519, alarmCode=198094422, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,18:47:45.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
