ZteTrapBody(id=4685927025307633520, newOrClear=1, trapId=1718086416950, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=GZN026, siteName=GZNP026_Malakddin_Village_Nawa(5026), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN026_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,18:38:20.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8178239694094982491, newOrClear=1, trapId=1718086416953, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=GZN030, siteName=GZNP030_Malak_khil_Fayzabad_Bazar(Nawa)(5030), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN030_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,18:38:20.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416950, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,18:42:20.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416953, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,18:42:20.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2496312229285889683, newOrClear=1, trapId=1718086416973, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=KST018, siteName=KSTP018_BTS_La_Kan_P3(3418), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KST018_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,18:47:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416973, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,18:58:39.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7910157885057811314, newOrClear=1, trapId=1718086417015, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=KST018, siteName=KSTP018_BTS_La_Kan_P3(3418), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KST018_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,19:4:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=795986097355151162, newOrClear=1, trapId=1718086417056, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=HRT178, siteName=HRTC178_Etifaq_Market_P3_OPEX_AH(2178), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT178_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,19:9:44.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417056, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,19:10:44.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417015, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,19:21:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
